reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
#PWR083,1,+3.3V,power:+3.3V,161.925,65.405,0,,1:None
#PWR019,1,GND,power:GND,48.895,380.365,0,,1:None
C48,1,100nF,Device:C,180.975,110.49,0,x,1:GNDA; 2:+4.5V
C27,1,470pF,Device:C,101.6,308.61,180,,1:GND; 2:+3.3V
C19,1,100nF,Device:C,74.93,139.065,180,,1:+4.5V; 2:Net-(U1-BST)
R30,1,22,Device:R,233.68,172.72,90,,1:/DISP_VSYNC; 2:Net-(J1-DISP_VSYNC)
C123,1,100nF,Device:C,532.13,45.085,180,,1:GND; 2:+3.3V
C15,1,100nF,Device:C,60.325,53.975,0,y,1:Net-(U3-AINGND4); 2:GNDA
#PWR0224,1,GND,power:GND,407.67,85.725,0,,1:None
C17,1,10µF,Device:C,170.18,260.35,0,y,1:+7.6V; 2:GND
#PWR0220,1,GND,power:GND,406.4,48.895,0,y,1:None
#PWR0174,1,+1.8V,power:+1V8,294.64,261.62,270,,1:None
C71,1,4.7uF,Device:C,269.24,310.515,0,x,1:GND; 2:+3.3V
C107,1,100nF,Device:C,420.37,28.575,0,x,1:GND; 2:+3.3V
#PWR03,1,+4.5V,power:+6V,27.94,173.355,0,,1:None
R64,1,33,Device:R,546.1,85.725,270,,1:/DCMI_PIXCLK; 2:Net-(U14-PA6)
R52,1,33,Device:R,378.46,375.92,270,,1:Net-(U13-SCLK); 2:/QUADSPI_CLK
C113,1,100nF,Device:C,434.34,45.085,0,x,1:GND; 2:+3.3V
C56,1,100nF,Device:C,205.105,158.115,0,x,1:GND; 2:+3.3V
R65,1,22,Device:R,546.1,93.345,270,,1:/CIS_CP; 2:Net-(U14-PA9)
#PWR0170,1,GND,power:GND,282.575,358.775,270,,1:None
C87,1,100nF,Device:C,385.445,28.575,0,x,1:GND; 2:+3.3V
R40,1,1K,Device:R,261.62,102.87,0,,1:/CIS_LED_G; 2:Net-(Q2-G)
C97,1,100nF,Device:C,406.4,28.575,0,x,1:GND; 2:+3.3V
#PWR0214,1,GND,power:GND,400.05,225.425,180,,1:None
C35,1,10µF,Device:C,210.82,240.03,0,y,1:+4.6V; 2:GND
C54,1,10nF,Device:C,194.31,379.095,0,,1:Net-(C54-Pad1); 2:Net-(C54-Pad2)
#PWR0133,1,GND,power:GND,254,177.8,270,,1:None
#PWR0162,1,GND,power:GND,288.296,160.02,90,,1:None
#PWR033,1,GNDA,power:GNDA,73.025,78.105,0,,1:None
R5,1,33,Device:R,36.83,346.075,90,,1:/ETH_TXD1; 2:Net-(U5-TXD1)
C102,1,10uF,Device:C,407.67,81.915,0,x,1:GND; 2:VERF+
U7,1,ADP7142AUJZ-3.3,Regulator_Linear:ADP7142AUJZ-3.3,203.835,86.995,0,,1:+4.5V; 3:/PW_ADC_EN; 2:GNDA; 5:+3.3VADC; 4:+3.3VADC
C49,1,10nF,Device:C,181.61,379.095,0,,1:Net-(TR1-C_RX); 2:Net-(C49-Pad2)
#FLG04,1,PWR_FLAG,power:PWR_FLAG,116.84,142.875,270,,1:None
#PWR096,1,GNDA,power:GNDA,187.325,40.005,0,,1:None
R38,1,100K,Device:R,247.65,110.49,0,,1:Net-(Q1-G); 2:GND
