reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
D2,1,RCLAMP0582B-N,Power_Protection:RCLAMP0582B,157.48,365.76,90,,3:GND; 1:/RX_P; 2:/RX_N
R11,1,10K,Device:R,48.895,376.555,180,,1:GND; 2:/ETH_RST
#PWR0307,1,+3.3VDIO,power:+3.3VA,60.325,83.185,0,,1:None
#PWR0102,1,GNDA,power:GNDA,203.835,94.615,0,,1:None
#PWR0256,1,GND,power:GND,532.13,48.895,0,y,1:None
#PWR0241,1,GND,power:GND,435.61,88.265,270,,1:None
C38,1,100nF,Device:C,116.84,177.165,0,x,1:GND; 2:+3.3V
R68,1,33,Device:R,546.1,184.785,270,,1:/DCMI_D3; 2:Net-(U14-PC9)
U9,1,IS42S16160J-6BLI,CIS_Library:IS42S16160J-6BLI,289.56,323.215,0,,A1:GND; A2:/FMC_D15; A3:GND; A7:+3.3V; A8:/FMC_D0; A9:+3.3V; B1:/FMC_D14; B2:/FMC_D13; B3:+3.3V; B7:GND; B8:/FMC_D2; B9:/FMC_D1; C1:/FMC_D12; C2:/FMC_D11; C3:GND; C7:+3.3V; C8:/FMC_D4; C9:/FMC_D3; D1:/FMC_D10; D2:/FMC_D9; D3:+3.3V; D7:GND; D8:/FMC_D6; D9:/FMC_D5; E1:/FMC_D8; E2:unconnected-(U9-NC-PadE2); E3:GND; E7:+3.3V; E8:/FMC_NBL0; E9:/FMC_D7; F1:/FMC_NBL1; F2:/FMC_SDCLK; F3:/FMC_SDCKE0; F7:/FMC_SDNCAS; F8:/FMC_SDNRAS; F9:/FMC_SDNWE; G1:/FMC_A12; G2:/FMC_A11; G3:/FMC_A9; G7:/FMC_BA0; G8:/FMC_BA1; G9:/FMC_SDNE0; H1:/FMC_A8; H2:/FMC_A7; H3:/FMC_A6; H7:/FMC_A0; H8:/FMC_A1; H9:/FMC_A10; J1:GND; J2:/FMC_A5; J3:/FMC_A4; J7:/FMC_A3; J8:/FMC_A2; J9:+3.3V
C31,1,10µF,Device:C,205.74,252.73,0,y,1:-4.5V; 2:GND
C73,1,100nF,Device:C,274.955,365.125,0,x,1:GND; 2:+3.3V
C37,1,100nF,Device:C,116.84,146.685,0,x,1:GND; 2:+4.5V
#FLG011,1,PWR_FLAG,power:PWR_FLAG,27.94,90.805,270,,1:None
#PWR0292,1,GND,power:GND,220.98,243.84,0,,1:None
R32,1,220,Device:R,235.585,360.045,90,,1:Net-(J4-Pad10); 2:GND
C106,1,100nF,Device:C,414.655,81.915,0,x,1:GND; 2:VREF+
R69,1,33,Device:R,546.1,189.865,270,,1:/DCMI_D4; 2:Net-(U14-PC11)
#PWR055,1,GND,power:GND,101.6,312.42,0,,1:None
#PWR0114,1,GNDA,power:GNDA,227.33,114.3,0,,1:None
R63,1,33,Device:R,431.8,288.925,270,,1:Net-(U14-PG10); 2:/DCMI_D2
R60,1,33,Device:R,431.8,192.405,270,,1:Net-(U14-PI6); 2:/DCMI_D6
#PWR0242,1,GND,power:GND,441.325,32.385,0,y,1:None
#PWR0277,1,GND,power:GND,342.9,96.52,0,,1:None
#PWR026,1,GND,power:GND,59.69,206.375,0,,1:None
#PWR0190,1,GND,power:GND,325.12,114.3,0,y,1:None
#PWR070,1,GND,power:GND,116.84,150.495,0,,1:None
#PWR061,1,GND,power:GND,205.74,279.4,0,,1:None
#PWR062,1,GND,power:GND,107.95,312.42,0,,1:None
C57,1,100nF,Device:C,208.28,39.37,0,y,1:+3.3VCIS; 2:GNDA
#FLG05,1,PWR_FLAG,power:PWR_FLAG,116.84,173.355,270,,1:None
#PWR0106,1,GNDA,power:GNDA,208.28,43.18,0,,1:None
R54,1,10K,Device:R,414.655,61.595,0,,1:+3.3V; 2:/RST
R44,1,100K,Device:R,275.59,110.49,0,,1:Net-(Q3-G); 2:GND
#PWR0250,1,GND,power:GND,486.41,339.725,0,,1:None
#PWR0189,1,GND,power:GND,325.12,57.15,0,y,1:None
#PWR0105,1,GND,power:GND,205.105,161.29,0,,1:None
R75,1,100K,Device:R,124.46,190.5,0,,1:/PW_ADC_EN; 2:GND
C59,1,1uF,Device:C,217.17,43.815,0,x,1:GNDA; 2:/CIS_VREF
L3,1,4.7uH,Device:L,190.5,221.615,90,,1:+4.5V; 2:Net-(U4-SWP1)
U3,1,VSP5610RSHR,CIS_Library:VSP5610RSHR,78.105,24.765,0,,1:GND; 2:unconnected-(U3-AVDD_LDO-Pad2); 3:GNDA; 4:/CIS_ADC_1; 5:Net-(U3-AINGND1); 6:/CIS_ADC_2; 7:Net-(U3-AINGND2); 8:/CIS_ADC_3; 9:Net-(U3-AINGND3); 10:Net-(U3-AIN4); 11:Net-(U3-AIN4); 12:GNDA; 13:Net-(U3-REF_AIN); 14:Net-(U3-ISET); 15:GNDA; 16:Net-(U3-REFP); 17:Net-(U3-REFN); 18:GNDA; 19:+3.3VADC; 20:unconnected-(U3-XSH1-Pad20); 21:unconnected-(U3-XSH2-Pad21); 22:unconnected-(U3-XSH3-Pad22); 23:unconnected-(U3-XSH4-Pad23); 24:unconnected-(U3-GPIO0-Pad24); 25:Net-(U3-SDO/GPIO2); 26:GND; 27:Net-(U3-RCLKN); 28:/CIS_CP; 29:GND; 30:/SPI4_NSS; 31:/SPI4_MOSI; 32:/SPI4_SCK; 33:/DCMI_D7; 34:/DCMI_D6; 35:/DCMI_D5; 36:/DCMI_D4; 37:/DCMI_D3; 38:/DCMI_D2; 39:/DCMI_D1; 40:/DCMI_D0; 41:+3.3VDIO; 42:GND; 43:+3.3VDIO; 44:GND; 45:/CIS_XLSYNC; 46:/SPI4_MISO; 47:Net-(U3-XST/GPIO3); 48:unconnected-(U3-XCLR-Pad48); 49:unconnected-(U3-XP1-Pad49); 50:unconnected-(U3-XP2-Pad50); 51:unconnected-(U3-XP3-Pad51); 52:unconnected-(U3-XP4-Pad52); 53:unconnected-(U3-X1L-Pad53); 54:unconnected-(U3-X2L-Pad54); 55:unconnected-(U3-XCP-Pad55); 56:unconnected-(U3-XRS-Pad56); 57:GNDA
#PWR015,1,GND,power:GND,46.99,191.135,270,,1:None
#PWR041,1,GNDA,power:GNDA,79.375,57.785,270,,1:None
D3,1,DF01S,Diode_Bridge:DF01S,201.93,375.285,90,,1:Net-(D3-+); 2:GND; 3:Net-(C58-Pad1); 4:Net-(C54-Pad1)
#PWR028,1,GNDA,power:GNDA,66.675,78.105,0,,1:None
C16,1,100nF,Device:C,66.675,74.295,0,y,1:Net-(U3-REF_AIN); 2:GNDA
#PWR0128,1,GND,power:GND,252.095,243.84,270,,1:None
#PWR018,1,+3.3V,power:+3.3V,48.895,332.105,0,,1:None
C79,1,10nF,Device:C,318.135,28.575,180,,1:GND; 2:+3.3V
#PWR0216,1,GND,power:GND,400.05,314.325,0,y,1:None
#PWR0237,1,GND,power:GND,427.355,48.895,0,y,1:None
C94,1,100nF,Device:C,399.415,45.085,0,x,1:GND; 2:+3.3V
#PWR0175,1,GND,power:GND,34.29,116.84,0,,1:None
C90,1,100nF,Device:C,392.43,45.085,0,x,1:GND; 2:+3.3V
C91,1,18pF,Device:C,393.7,234.315,0,x,1:GND; 2:Net-(U14-PH0)
#PWR0270,1,GND,power:GND,96.52,261.62,0,,1:None
#PWR0207,1,+3.3V,power:+3.3V,392.43,365.76,0,,1:None
R84,1,0R,Device:R,166.37,50.165,90,,1:Net-(U3-XST/GPIO3); 2:/DCMI_PIXCLK
#PWR0222,1,GND,power:GND,407.035,238.125,0,,1:None
C85,1,4.7uF,Device:C,378.46,28.575,0,x,1:GND; 2:+3.3V
C22,1,100nF,Device:C,79.375,74.295,0,y,1:Net-(U3-REFN); 2:GNDA
#PWR0192,1,+3.3V,power:+3.3V,345.44,323.215,0,,1:None
